player,rating,score,score_against,result,outscore,division_rank,overall_rank,playoffs
Albuquerque Incels,1320.638,1824.333,1651.38,8.179,73.612,3.182,5.974,5340
Leeroy Jenkins,1327.009,1919.185,2020.28,8.294,74.793,3.196,5.773,5618
Booze Pony,1342.701,1977.258,1927.12,8.417,75.654,3.004,5.62,5835
Keene Scene Kids,1344.202,1975.648,1755.76,8.425,75.617,3.116,5.618,5811
DC Dirty Dawgs,1342.427,1991.793,1598.68,8.434,75.878,2.998,5.598,5852
Rolfe Park Spinnerz,1344.87,2081.931,2235.5,8.537,77.13,2.92,5.441,6120
Iron Curtain ,1330.963,2053.944,1805.74,8.55,76.657,3.021,5.44,6072
Richmond Rage ,1346.175,2015.09,2088.28,8.567,76.256,2.896,5.428,6119
Franklin gothgirl bills,1333.408,2167.481,1672.12,8.641,78.297,2.946,5.29,6315
Capital City Reapers,1345.108,2365.91,2154.58,8.956,81.108,2.72,4.817,6918
